framework,category,backend,curve,circuit,input,operation,nbConstraints,nbSecret,nbPublic,ram,time,proofSize,count
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_10.json,setup,,,,33067008,88,,110
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_10.json,prove,,,,33054720,105,992,55
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_10.json,verify,,,,33058816,3,,1320
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_11.json,setup,,,,33099776,155,,55
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_11.json,prove,,,,33062912,162,992,55
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_11.json,verify,,,,32952320,3,,1320
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_12.json,setup,,,,33067008,291,,20
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_12.json,prove,,,,32788480,277,992,20
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_12.json,verify,,,,33234944,3,,1320
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_13.json,setup,,,,39550976,560,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_13.json,prove,,,,51773440,494,992,20
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_13.json,verify,,,,33181696,3,,1320
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_14.json,setup,,,,76767232,1085,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_14.json,prove,,,,99164160,893,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_14.json,verify,,,,33005568,3,,1320
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_15.json,setup,,,,149372928,2131,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_15.json,prove,,,,194686976,1670,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_15.json,verify,,,,33075200,3,,1320
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_16.json,setup,,,,294785024,4213,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_16.json,prove,,,,385789952,3164,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_16.json,verify,,,,33189888,3,,1320
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_17.json,setup,,,,594087936,8453,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_17.json,prove,,,,776105984,6107,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_17.json,verify,,,,46104576,3,,1320
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_18.json,setup,,,,1218719744,16936,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_18.json,prove,,,,1531465728,11947,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_18.json,verify,,,,88477696,3,,1320
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_19.json,setup,,,,2367934464,34214,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_19.json,prove,,,,2975555584,24516,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_19.json,verify,,,,173387776,3,,1320
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_20.json,setup,,,,4656472064,68812,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_20.json,prove,,,,5924319232,48529,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_20.json,verify,,,,343281664,3,,1320
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_21.json,setup,,,,9155731456,138271,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_21.json,prove,,,,11836334080,97423,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_21.json,verify,,,,683012096,3,,1320
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_22.json,setup,,,,18308046848,277282,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_22.json,prove,,,,23668637696,193519,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_22.json,verify,,,,1362481152,3,,1320
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_23.json,setup,,,,36612399104,557294,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_23.json,prove,,,,47333543936,388521,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_23.json,verify,,,,2721370112,3,,1320
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_24.json,setup,,,,72050708480,1120491,,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_24.json,prove,,,,93513437184,778568,992,10
halo2_pse,circuit,halo2,bn256,exponentiate,input/circuit/exponentiate_2/input_24.json,verify,,,,5439287296,3,,1320
